movie_title,w1_audience,w3_audience,w5_audience,growth_rate_w3_w5,peak_date,peak_days_since_open,curve_type
왕과 사는 남자,0,0,0,0,20260204,0,Steady-seller
명량,0,0,0,0,20140730,0,Steady-seller
극한직업,0,0,0,0,20190123,0,Steady-seller
파묘,0,0,0,0,20240222,0,Steady-seller
서울의 봄,0,0,0,0,20231122,0,Steady-seller
범죄도시2,0,0,0,0,20220518,0,Steady-seller
신과함께-죄와 벌,0,0,0,0,20171220,0,Steady-seller
국제시장,0,0,0,0,20141217,0,Steady-seller
한산: 용의 출현,0,0,0,0,20220727,0,Steady-seller
공조2: 인터내셔날,0,0,0,0,20220907,0,Steady-seller
베테랑2,0,0,0,0,20240913,0,Steady-seller
밀수,0,0,0,0,20230726,0,Steady-seller
하얼빈,0,0,0,0,20241224,0,Steady-seller
노량: 죽음의 바다,0,0,0,0,20231220,0,Steady-seller
엑시트,0,0,0,0,20190731,0,Steady-seller
백두산,0,0,0,0,20191219,0,Steady-seller
안시성,0,0,0,0,20180919,0,Steady-seller
내부자들,0,0,0,0,20151119,0,Steady-seller
인천상륙작전,0,0,0,0,20160727,0,Steady-seller
마스터,0,0,0,0,20240101,0,Steady-seller
청년경찰,0,0,0,0,20170809,0,Steady-seller
1987,0,0,0,0,20171227,0,Steady-seller
완벽한 타인,0,0,0,0,20181031,0,Steady-seller
독전,0,0,0,0,20240101,0,Steady-seller
강철비,0,0,0,0,20171214,0,Steady-seller
남한산성,0,0,0,0,20171003,0,Steady-seller
꾼,0,0,0,0,20171122,0,Steady-seller
히말라야,0,0,0,0,20151216,0,Steady-seller
모가디슈,0,0,0,0,20210728,0,Steady-seller
싱크홀,0,0,0,0,20210811,0,Steady-seller
헌트,0,0,0,0,20220810,0,Steady-seller
올빼미,0,0,0,0,20221123,0,Steady-seller
영웅,0,0,0,0,20221221,0,Steady-seller
콘크리트 유토피아,0,0,0,0,20230809,0,Steady-seller
파일럿,0,0,0,0,20240731,0,Steady-seller
탈주,0,0,0,0,20240703,0,Steady-seller
교섭,0,0,0,0,20230118,0,Steady-seller
핸섬가이즈,0,0,0,0,20240626,0,Steady-seller
인질,0,0,0,0,20210818,0,Steady-seller
보이스,0,0,0,0,20240101,0,Steady-seller
외계+인 2부,0,0,0,0,20240110,0,Steady-seller
슬립,0,0,0,0,20240101,0,Steady-seller
드림,0,0,0,0,20240101,0,Steady-seller
마녀,0,0,0,0,20240101,0,Steady-seller
곤지암,0,0,0,0,20180328,0,Steady-seller
박열,0,0,0,0,20170628,0,Steady-seller
나쁜 녀석들: 더 무비,0,0,0,0,20190911,0,Steady-seller
