movie_title,target_date,rank,audi_cnt,audi_acc,scrn_cnt
왕과 사는 남자,20260204,1,117783,147538,1658
왕과 사는 남자,20260205,1,91731,239269,1612
왕과 사는 남자,20260206,1,126625,365894,1653
왕과 사는 남자,20260207,1,327112,693006,1717
왕과 사는 남자,20260208,1,308083,1001089,1724
왕과 사는 남자,20260209,1,98379,1099468,1530
왕과 사는 남자,20260210,1,95582,1195050,1536
왕과 사는 남자,20260211,2,86924,1281974,1150
왕과 사는 남자,20260212,1,83916,1365890,1206
왕과 사는 남자,20260213,1,133573,1499463,1420
왕과 사는 남자,20260214,1,357886,1857349,1729
왕과 사는 남자,20260215,1,465257,2322606,1836
왕과 사는 남자,20260216,1,537175,2859781,1899
왕과 사는 남자,20260217,1,661441,3521222,2010
왕과 사는 남자,20260218,1,653635,4174857,2017
왕과 사는 남자,20260219,1,239783,4414640,1607
왕과 사는 남자,20260220,1,264715,4679355,1771
왕과 사는 남자,20260221,1,581160,5260515,2106
왕과 사는 남자,20260222,1,568289,5828804,2142
왕과 사는 남자,20260223,1,195474,6024278,1756
왕과 사는 남자,20260224,1,194638,6218916,1778
왕과 사는 남자,20260225,1,309574,6528490,1937
왕과 사는 남자,20260226,1,204929,6733419,1803
왕과 사는 남자,20260227,1,278059,7011478,1932
왕과 사는 남자,20260228,1,655719,7667197,2165
왕과 사는 남자,20260301,1,817187,8484384,2170
왕과 사는 남자,20260302,1,728928,9213312,2150
왕과 사는 남자,20260303,1,194476,9407788,1800
왕과 사는 남자,20260304,1,189639,9597427,1633
왕과 사는 남자,20260305,1,180530,9777957,1697
왕과 사는 남자,20260306,1,271745,10049702,1881
명량,20140730,1,682701,705201,1159
명량,20140731,1,705070,1410271,1202
명량,20140801,1,867437,2277708,1300
명량,20140802,1,1232529,3510237,1494
명량,20140803,1,1257380,4767617,1587
명량,20140804,1,990022,5757639,1443
명량,20140805,1,869153,6626792,1507
명량,20140806,1,702887,7329679,1221
명량,20140807,1,652776,7982455,1239
명량,20140808,1,690123,8672578,1278
명량,20140809,1,1101089,9773667,1343
명량,20140810,1,1032388,10806055,1315
명량,20140811,1,526106,11332161,1204
명량,20140812,1,443817,11775978,1224
명량,20140813,1,368597,12144575,935
명량,20140814,1,430129,12574704,949
명량,20140815,1,744256,13318960,1013
명량,20140816,1,682703,14001663,1004
명량,20140817,1,635573,14637236,1002
명량,20140818,1,264378,14901614,906
명량,20140819,1,231697,15133311,931
명량,20140820,1,173159,15306470,732
명량,20140821,1,165149,15471619,716
명량,20140822,2,166182,15637801,723
명량,20140823,2,332537,15970338,772
명량,20140824,2,305504,16275842,757
명량,20140825,2,105306,16381148,694
명량,20140826,2,89715,16470863,702
명량,20140827,2,85270,16556133,658
명량,20140828,3,59758,16615891,482
명량,20140829,3,66327,16682218,482
극한직업,20190123,1,368582,392773,1553
극한직업,20190124,1,331924,724697,1658
극한직업,20190125,1,386371,1111068,1741
극한직업,20190126,1,995406,2106474,1910
극한직업,20190127,1,1033089,3139563,1978
극한직업,20190128,1,397188,3536751,1766
극한직업,20190129,1,358186,3894937,1827
극한직업,20190130,1,564825,4459762,1574
극한직업,20190131,1,350685,4810447,1548
극한직업,20190201,1,462875,5273322,1701
극한직업,20190202,1,962555,6235877,1890
극한직업,20190203,1,1058680,7294557,1949
극한직업,20190204,1,975927,8270484,2003
극한직업,20190205,1,1130176,9400660,1844
극한직업,20190206,1,1131697,10532357,1835
극한직업,20190207,1,460448,10992805,1558
극한직업,20190208,1,409794,11402599,1595
극한직업,20190209,1,776215,12178814,1703
극한직업,20190210,1,660049,12838863,1707
극한직업,20190211,1,214339,13053202,1571
극한직업,20190212,1,198064,13251266,1571
극한직업,20190213,1,172086,13423352,1193
극한직업,20190214,1,167585,13590937,1027
극한직업,20190215,1,191503,13782440,1059
극한직업,20190216,1,405476,14187916,1158
극한직업,20190217,1,348325,14536241,1166
극한직업,20190218,1,114307,14650548,1071
극한직업,20190219,2,114270,14764818,1073
극한직업,20190220,2,91845,14856663,836
극한직업,20190221,2,82354,14939017,807
극한직업,20190222,2,93652,15032669,858
파묘,20240222,1,330118,336129,1944
파묘,20240223,1,374492,710621,2086
파묘,20240224,1,770974,1481595,2355
파묘,20240225,1,819842,2301437,2351
파묘,20240226,1,328445,2629882,2097
파묘,20240227,1,298464,2928346,2145
파묘,20240228,1,384594,3312940,1885
파묘,20240229,1,384294,3697234,2039
파묘,20240301,1,851600,4548834,2315
파묘,20240302,1,832278,5381112,2367
파묘,20240303,1,652059,6033171,2363
파묘,20240304,1,207996,6241167,2105
파묘,20240305,1,190540,6431707,2148
파묘,20240306,1,174674,6606381,2021
파묘,20240307,1,160362,6766743,2021
파묘,20240308,1,243235,7009978,2098
파묘,20240309,1,559672,7569650,2164
파묘,20240310,1,472287,8041937,2149
파묘,20240311,1,135262,8177199,1940
파묘,20240312,1,121933,8299132,1967
파묘,20240313,1,113406,8412538,1735
파묘,20240314,1,105065,8517603,1754
파묘,20240315,1,150668,8668271,1860
파묘,20240316,1,344954,9013225,1959
파묘,20240317,1,285277,9298502,1942
파묘,20240318,1,82399,9380901,1756
파묘,20240319,1,71978,9452879,1785
파묘,20240320,1,69871,9522750,1617
파묘,20240321,1,68249,9590999,1621
파묘,20240322,1,108889,9699888,1725
파묘,20240323,1,265402,9965290,1807
서울의 봄,20231122,1,203813,219445,2144
서울의 봄,20231123,1,179084,398529,2161
서울의 봄,20231124,1,274610,673139,2204
서울의 봄,20231125,1,594436,1267575,2322
서울의 봄,20231126,1,625180,1892755,2328
서울의 봄,20231127,1,239666,2132421,2176
서울의 봄,20231128,1,232277,2364698,2241
서울의 봄,20231129,1,346732,2711430,2194
서울의 봄,20231130,1,241470,2952900,2119
서울의 봄,20231201,1,323985,3276885,2281
서울의 봄,20231202,1,700900,3977785,2433
서울의 봄,20231203,1,677249,4655034,2463
서울의 봄,20231204,1,214343,4869377,2196
서울의 봄,20231205,1,198569,5067946,2219
서울의 봄,20231206,1,203042,5270988,1979
서울의 봄,20231207,1,200532,5471520,2023
서울의 봄,20231208,1,289920,5761440,2150
서울의 봄,20231209,1,626174,6387614,2301
서울의 봄,20231210,1,584136,6971750,2286
서울의 봄,20231211,1,190750,7162500,2067
서울의 봄,20231212,1,199853,7362353,2137
서울의 봄,20231213,1,188621,7550974,2014
서울의 봄,20231214,1,177959,7728933,2050
서울의 봄,20231215,1,269165,7998098,2156
서울의 봄,20231216,1,497073,8495171,2313
서울의 봄,20231217,1,445484,8940655,2259
서울의 봄,20231218,1,142485,9083140,2065
서울의 봄,20231219,1,135758,9218898,2101
서울의 봄,20231220,2,100346,9319244,1190
서울의 봄,20231221,2,103029,9422273,1248
서울의 봄,20231222,2,143174,9565447,1400
범죄도시2,20220518,1,467483,650417,2226
범죄도시2,20220519,1,366223,1016640,2230
범죄도시2,20220520,1,523192,1539832,2373
범죄도시2,20220521,1,1037004,2576836,2498
범죄도시2,20220522,1,973821,3550657,2496
범죄도시2,20220523,1,336655,3887312,2285
범죄도시2,20220524,1,283576,4170888,2311
범죄도시2,20220525,1,342272,4513160,2392
범죄도시2,20220526,1,240641,4753801,2376
범죄도시2,20220527,1,364472,5118273,2421
범죄도시2,20220528,1,772117,5890390,2521
범죄도시2,20220529,1,656284,6546674,2520
범죄도시2,20220530,1,201418,6748092,2357
범죄도시2,20220531,1,265345,7013437,2407
범죄도시2,20220601,2,463146,7476583,1305
범죄도시2,20220602,1,153395,7629978,1307
범죄도시2,20220603,1,219326,7849304,1553
범죄도시2,20220604,1,466932,8316236,1744
범죄도시2,20220605,1,552233,8868469,1786
범죄도시2,20220606,1,455336,9323805,1771
범죄도시2,20220607,1,136510,9460315,1557
범죄도시2,20220608,2,114543,9574858,1249
범죄도시2,20220609,1,111857,9686715,1322
범죄도시2,20220610,1,146311,9833026,1409
범죄도시2,20220611,1,339123,10172149,1552
범죄도시2,20220612,1,331554,10503703,1543
범죄도시2,20220613,1,122582,10626285,1400
범죄도시2,20220614,1,107119,10733404,1415
범죄도시2,20220615,2,90229,10823633,1118
범죄도시2,20220616,2,85573,10909206,1162
범죄도시2,20220617,2,118477,11027683,1219
신과함께-죄와 벌,20171220,1,406365,422564,1538
신과함께-죄와 벌,20171221,1,401449,824013,1582
신과함께-죄와 벌,20171222,1,497810,1321823,1653
신과함께-죄와 벌,20171223,1,968372,2290195,1818
신과함께-죄와 벌,20171224,1,1268537,3558732,1887
신과함께-죄와 벌,20171225,1,1212822,4771554,1912
신과함께-죄와 벌,20171226,1,430026,5201580,1662
신과함께-죄와 벌,20171227,1,495106,5696686,1428
