movie_title,channel,keyword,count,rank
왕과 사는 남자,combined,돌파,102,1
왕과 사는 남자,combined,왕사,75,2
왕과 사는 남자,combined,단종,73,3
왕과 사는 남자,combined,흥행,64,4
왕과 사는 남자,combined,장항준,56,5
왕과 사는 남자,combined,역대,54,6
왕과 사는 남자,combined,박지훈,47,7
왕과 사는 남자,combined,감독,36,8
왕과 사는 남자,combined,영월,32,9
왕과 사는 남자,combined,매출,31,10
왕과 사는 남자,combined,기록,28,11
왕과 사는 남자,combined,천만,27,12
왕과 사는 남자,combined,유해진,26,13
왕과 사는 남자,combined,청령포,26,14
왕과 사는 남자,combined,요즘,25,15
왕과 사는 남자,combined,극장,25,16
왕과 사는 남자,combined,배우,24,17
왕과 사는 남자,combined,사람,24,18
왕과 사는 남자,combined,한국,23,19
왕과 사는 남자,combined,여행,21,20
왕과 사는 남자,combined,누적,20,21
왕과 사는 남자,combined,유지태,18,22
왕과 사는 남자,combined,유배,18,23
왕과 사는 남자,combined,공개,17,24
왕과 사는 남자,combined,최근,17,25
왕과 사는 남자,combined,이야기,16,26
왕과 사는 남자,combined,역사,16,27
왕과 사는 남자,combined,연기,14,28
왕과 사는 남자,combined,국제,14,29
왕과 사는 남자,combined,시장,14,30
왕과 사는 남자,blog,돌파,102,1
왕과 사는 남자,blog,왕사,75,2
왕과 사는 남자,blog,단종,73,3
왕과 사는 남자,blog,흥행,64,4
왕과 사는 남자,blog,장항준,56,5
왕과 사는 남자,blog,역대,54,6
왕과 사는 남자,blog,박지훈,47,7
왕과 사는 남자,blog,감독,36,8
왕과 사는 남자,blog,영월,32,9
왕과 사는 남자,blog,매출,31,10
왕과 사는 남자,blog,기록,28,11
왕과 사는 남자,blog,천만,27,12
왕과 사는 남자,blog,유해진,26,13
왕과 사는 남자,blog,청령포,26,14
왕과 사는 남자,blog,요즘,25,15
왕과 사는 남자,blog,극장,25,16
왕과 사는 남자,blog,배우,24,17
왕과 사는 남자,blog,사람,24,18
왕과 사는 남자,blog,한국,23,19
왕과 사는 남자,blog,여행,21,20
왕과 사는 남자,blog,누적,20,21
왕과 사는 남자,blog,유지태,18,22
왕과 사는 남자,blog,유배,18,23
왕과 사는 남자,blog,공개,17,24
왕과 사는 남자,blog,최근,17,25
왕과 사는 남자,blog,이야기,16,26
왕과 사는 남자,blog,역사,16,27
왕과 사는 남자,blog,연기,14,28
왕과 사는 남자,blog,국제,14,29
왕과 사는 남자,blog,시장,14,30
명량,combined,역대,147,1
명량,combined,남자,122,2
명량,combined,흥행,121,3
명량,combined,직업,120,4
명량,combined,돌파,103,5
명량,combined,극한,100,6
명량,combined,시장,89,7
명량,combined,왕사,88,8
명량,combined,국제,88,9
명량,combined,매출,73,10
명량,combined,기록,71,11
명량,combined,핫도그,60,12
명량,combined,한국,51,13
명량,combined,순위,37,14
명량,combined,현재,32,15
명량,combined,천만,30,16
명량,combined,이제,26,17
명량,combined,어벤져스,23,18
명량,combined,장항준,23,19
명량,combined,작품,23,20
명량,combined,극장,22,21
명량,combined,박지훈,21,22
명량,combined,부산,20,23
명량,combined,리스,20,24
명량,combined,감독,19,25
명량,combined,바로,19,26
명량,combined,치즈스틱,19,27
명량,combined,역사,18,28
명량,combined,누적,17,29
명량,combined,관객수,16,30
명량,blog,역대,147,1
명량,blog,남자,122,2
명량,blog,흥행,121,3
명량,blog,직업,120,4
명량,blog,돌파,103,5
명량,blog,극한,100,6
명량,blog,시장,89,7
명량,blog,왕사,88,8
명량,blog,국제,88,9
명량,blog,매출,73,10
명량,blog,기록,71,11
명량,blog,핫도그,60,12
명량,blog,한국,51,13
명량,blog,순위,37,14
명량,blog,현재,32,15
명량,blog,천만,30,16
명량,blog,이제,26,17
명량,blog,어벤져스,23,18
명량,blog,장항준,23,19
명량,blog,작품,23,20
명량,blog,극장,22,21
명량,blog,박지훈,21,22
명량,blog,부산,20,23
명량,blog,리스,20,24
명량,blog,감독,19,25
명량,blog,바로,19,26
명량,blog,치즈스틱,19,27
명량,blog,역사,18,28
명량,blog,누적,17,29
명량,blog,관객수,16,30
극한직업,combined,명량,132,1
극한직업,combined,남자,126,2
극한직업,combined,역대,123,3
극한직업,combined,흥행,114,4
극한직업,combined,시장,105,5
극한직업,combined,국제,100,6
극한직업,combined,돌파,98,7
극한직업,combined,왕사,80,8
극한직업,combined,매출,63,9
극한직업,combined,기록,60,10
극한직업,combined,현재,53,11
극한직업,combined,순위,42,12
극한직업,combined,한국,40,13
극한직업,combined,통닭,34,14
극한직업,combined,작품,32,15
극한직업,combined,이제,27,16
극한직업,combined,어벤져스,25,17
극한직업,combined,감독,22,18
극한직업,combined,극장,21,19
극한직업,combined,장항준,19,20
극한직업,combined,아바타,17,21
극한직업,combined,어디,17,22
극한직업,combined,천만,16,23
극한직업,combined,박지훈,16,24
극한직업,combined,영주,16,25
극한직업,combined,지금,14,26
극한직업,combined,관객수,14,27
극한직업,combined,단종,14,28
극한직업,combined,국내,14,29
극한직업,combined,찹쌀떡,14,30
극한직업,blog,명량,132,1
극한직업,blog,남자,126,2
극한직업,blog,역대,123,3
극한직업,blog,흥행,114,4
극한직업,blog,시장,105,5
극한직업,blog,국제,100,6
극한직업,blog,돌파,98,7
극한직업,blog,왕사,80,8
극한직업,blog,매출,63,9
극한직업,blog,기록,60,10
극한직업,blog,현재,53,11
극한직업,blog,순위,42,12
극한직업,blog,한국,40,13
극한직업,blog,통닭,34,14
극한직업,blog,작품,32,15
극한직업,blog,이제,27,16
극한직업,blog,어벤져스,25,17
극한직업,blog,감독,22,18
극한직업,blog,극장,21,19
극한직업,blog,장항준,19,20
극한직업,blog,아바타,17,21
극한직업,blog,어디,17,22
극한직업,blog,천만,16,23
극한직업,blog,박지훈,16,24
극한직업,blog,영주,16,25
