rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,targetDt,aud_per_show
1,1,38,OLD,20148846,사도,2015-09-16,1876614700,56.9,1875522700,171751.2,1989663700,250237,250081,160308.3,264692,1123,6108,20150916,40.97
1,1,0,OLD,20148846,사도,2015-09-16,1674687200,53.9,-201927500,-10.8,3664350900,223381,-26856,-10.7,488073,1190,6447,20150917,34.65
1,1,0,OLD,20148846,사도,2015-09-16,2262167824,51.0,587480624,35.1,5926518724,281969,58588,26.2,770042,1203,6661,20150918,42.33
1,1,0,OLD,20148846,사도,2015-09-16,4415344655,50.2,2153176831,95.2,10341863379,543047,261078,92.6,1313089,1210,6948,20150919,78.16
1,1,0,OLD,20148846,사도,2015-09-16,4024137100,50.8,-391207555,-8.9,14366000479,497421,-45626,-8.4,1810510,1205,6718,20150920,74.04
1,1,0,OLD,20148846,사도,2015-09-16,1127837200,51.7,-2896299900,-72.0,15493837679,150543,-346878,-69.7,1961053,1146,6235,20150921,24.14
1,1,0,OLD,20148846,사도,2015-09-16,1076471300,51.5,-51365900,-4.6,16570308979,144379,-6164,-4.1,2105432,1153,6215,20150922,23.23
1,1,0,OLD,20148846,사도,2015-09-16,1047686100,48.4,-28785200,-2.7,17617995079,140417,-3962,-2.7,2245849,1137,6135,20150923,22.89
1,1,0,OLD,20148846,사도,2015-09-16,884132400,29.6,-163553700,-15.6,18502127479,118066,-22351,-15.9,2363915,809,3937,20150924,29.99
1,1,0,OLD,20148846,사도,2015-09-16,1895461591,33.9,1011329191,114.4,20397589070,236352,118286,100.2,2600267,832,4184,20150925,56.49
1,1,0,OLD,20148846,사도,2015-09-16,3409102296,36.6,1513640705,79.9,23806691366,418464,182112,77.1,3018731,882,4628,20150926,90.42
1,1,0,OLD,20148846,사도,2015-09-16,4741948400,38.6,1332846104,39.1,28548639766,571788,153324,36.6,3590519,927,4716,20150927,121.24
1,1,0,OLD,20148846,사도,2015-09-16,5379094500,36.5,637146100,13.4,33927734266,671413,99625,17.4,4261932,934,4760,20150928,141.05
1,1,0,OLD,20148846,사도,2015-09-16,4162831800,33.6,-1216262700,-22.6,38090566066,527850,-143563,-21.4,4789782,914,4566,20150929,115.6
1,1,0,OLD,20148846,사도,2015-09-16,1139431100,29.0,-3023400700,-72.6,39229997166,175627,-352223,-66.7,4965409,778,3789,20150930,46.35
1,1,0,OLD,20148846,사도,2015-09-16,675674000,26.6,-463757100,-40.7,39905671166,113073,-62554,-35.6,5078482,778,3729,20151001,30.32
1,1,0,OLD,20148846,사도,2015-09-16,867308221,25.1,191634221,28.4,40772979387,111232,-1841,-1.6,5189714,767,3768,20151002,29.52
2,2,-1,OLD,20148846,사도,2015-09-16,1716961414,24.0,849653193,98.0,42489940801,214853,103621,93.2,5404567,752,3815,20151003,56.32
3,3,-1,OLD,20148846,사도,2015-09-16,1326648300,22.5,-390313114,-22.7,43816589101,166432,-48421,-22.5,5570999,750,3634,20151004,45.8
2,2,1,OLD,20148846,사도,2015-09-16,382457300,21.6,-944191000,-71.2,44199046401,51977,-114455,-68.8,5622976,703,3398,20151005,15.3
3,3,-1,OLD,20148846,사도,2015-09-16,373174500,20.6,-9282800,-2.4,44572220901,51347,-630,-1.2,5674323,732,3356,20151006,15.3
3,3,0,OLD,20148846,사도,2015-09-16,371030200,19.3,-2144300,-0.6,44943251101,51419,72,0.1,5725742,721,3294,20151007,15.61
4,4,-1,OLD,20148846,사도,2015-09-16,324542400,7.5,-46487800,-12.5,45267793501,45381,-6038,-11.7,5771123,416,1322,20151008,34.33
4,4,0,OLD,20148846,사도,2015-09-16,685383900,7.4,360841500,111.2,45953177401,89114,43733,96.4,5860237,429,1312,20151009,67.92
4,4,0,OLD,20148846,사도,2015-09-16,649553200,7.1,-35830700,-5.2,46602730601,82707,-6407,-7.2,5942944,471,1335,20151010,61.95
4,4,0,OLD,20148846,사도,2015-09-16,549382300,7.0,-100170900,-15.4,47152112901,70089,-12618,-15.3,6013033,464,1303,20151011,53.79
