date,rnum,rank,rankInten,rankOldAndNew,movieCd,movieNm,openDt,salesAmt,salesShare,salesInten,salesChange,salesAcc,audiCnt,audiInten,audiChange,audiAcc,scrnCnt,showCnt,show_efficiency,screen_share,movie_name
2019-05-30,1.0,1.0,7.0,OLD,20183782.0,기생충,2019-05-30,4579290500.0,75.7,4519237500.0,7525.4,4677727500.0,568092,562494.0,10048.1,568092,1783.0,8262.0,68.75962236746551,55.771035345636534,parasite
2019-05-31,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,5893815975.0,72.7,1314525475.0,28.7,10571543475.0,667826,99734.0,17.6,1235918,1826.0,8806.0,75.83761071996366,57.11604629340006,parasite
2019-06-01,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,9909224473.0,68.8,4015408498.0,68.1,20480767948.0,1126677,458851.0,68.7,2362595,1927.0,9907.0,113.72534571515092,60.275258054426025,parasite
2019-06-02,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,8706733270.0,67.7,-1202491203.0,-12.1,29187501218.0,994607,-132070.0,-11.7,3357202,1948.0,9820.0,101.28380855397148,60.932123866124485,parasite
2019-06-03,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,3071603430.0,72.6,-5635129840.0,-64.7,32259104648.0,382497,-612110.0,-61.5,3739699,1804.0,9196.0,41.59384515006525,56.427901157335,parasite
2019-06-04,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,2782574190.0,70.0,-289029240.0,-9.4,35041678838.0,348723,-33774.0,-8.8,4088422,1814.0,9193.0,37.93353638638094,56.74069440100094,parasite
2019-06-05,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,3435665860.0,59.6,653091670.0,23.5,38477344698.0,425745,77022.0,22.1,4514167,1700.0,8068.0,52.769583539910755,53.174851423209255,parasite
2019-06-06,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,7210821290.0,53.5,3775155430.0,109.9,45688165988.0,831644,405899.0,95.3,5345811,1574.0,7975.0,104.28137931034485,49.233656553018456,parasite
2019-06-07,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,4519273774.0,53.1,-2691547516.0,-37.3,50207439762.0,519720,-311924.0,-37.5,5865531,1561.0,7877.0,65.97943379459186,48.82702533625274,parasite
2019-06-08,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,5635004423.0,50.5,1115730649.0,24.7,55842444185.0,637591,117871.0,22.7,6503122,1579.0,7958.0,80.11950238753455,49.390053174851424,parasite
2019-06-09,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,4500961560.0,47.2,-1134042863.0,-20.1,60343405745.0,509134,-128457.0,-20.1,7012256,1577.0,7736.0,65.8135987590486,49.32749452611824,parasite
2019-06-10,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,1560319780.0,52.4,-2940641780.0,-65.3,61903725525.0,194662,-314472.0,-61.8,7206918,1460.0,7287.0,26.71359956086181,45.66781357522677,parasite
2019-06-11,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,1260270800.0,47.9,-300048980.0,-19.2,63163996325.0,157774,-36888.0,-18.9,7364692,1460.0,7251.0,21.758929802785826,45.66781357522677,parasite
2019-06-12,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,1172366590.0,36.1,-87904210.0,-7.0,64336362915.0,146216,-11558.0,-7.3,7510908,1217.0,5604.0,26.091363311920055,38.06693775414451,parasite
2019-06-13,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,1093021770.0,36.6,-79344820.0,-6.8,65429384685.0,136195,-10021.0,-6.9,7647103,1170.0,5211.0,26.136058338130876,36.59680950891461,parasite
2019-06-14,1.0,1.0,0.0,OLD,20183782.0,기생충,2019-05-30,1485706220.0,34.7,392684450.0,35.9,66915090905.0,168192,31997.0,23.5,7815295,1194.0,5396.0,31.16975537435137,37.34751329371286,parasite
2019-06-15,2.0,2.0,-1.0,OLD,20183782.0,기생충,2019-05-30,2490643460.0,28.6,1004937240.0,67.6,69405734365.0,279036,110844.0,65.9,8094331,1206.0,5408.0,51.59689349112426,37.72286518611198,parasite
2019-06-16,2.0,2.0,0.0,OLD,20183782.0,기생충,2019-05-30,2175614880.0,27.6,-315028580.0,-12.6,71581349245.0,241608,-37428.0,-13.4,8335939,1194.0,5297.0,45.6122333396262,37.34751329371286,parasite
2019-06-17,2.0,2.0,0.0,OLD,20183782.0,기생충,2019-05-30,848174300.0,33.1,-1327440580.0,-61.0,72429523545.0,105206,-136402.0,-56.5,8441145,1135.0,5240.0,20.077480916030535,35.502033156083826,parasite
2019-06-18,2.0,2.0,0.0,OLD,20183782.0,기생충,2019-05-30,804249670.0,31.6,-43924630.0,-5.2,73233773215.0,100700,-4506.0,-4.3,8541845,1157.0,5214.0,19.31338703490602,36.190178292148886,parasite
