영화명,날짜,일별관객수,누적관객수,스크린수,상영횟수,매출액,누적매출액,1주차_관객수,2주차_관객수,2주차_감소율,3~5주차_평균감소율,총관객수,장르,런타임,관람등급,평점,투표수,인기도,배우,제작사,배급사,영상제목,업로드일,개봉일,D-day,조회수,좋아요,댓글수,그룹,코로나구분,주차,연휴효과,평점신뢰도
왕과 사는 남자,2026-02-04,117783,147538,1658,6932,1076238210,1365519680,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-05,91731,239269,1612,6723,831148510,2196668190,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-06,126625,365894,1653,7152,1203723060,3400391250,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-07,327112,693006,1717,7714,3145705860,6546097110,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-08,308083,1001089,1724,7292,2941919760,9488016870,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-09,98379,1099468,1530,6494,908223980,10396240850,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-10,95582,1195050,1536,6557,878997090,11275237940,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,1주차,Y,낮음
왕과 사는 남자,2026-02-11,86924,1281974,1150,4203,811327260,12086565200,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,2주차,Y,낮음
왕과 사는 남자,2026-02-12,83916,1365890,1206,4331,775585340,12862150540,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,2주차,Y,낮음
왕과 사는 남자,2026-02-13,133573,1499463,1420,5369,1295622220,14157772760,1165295,2326172,99.62086853543524,3.9435216292651454,13722153,"역사, 드라마",117,12,7.5,6,16.4761,"유해진, 박지훈, 유지태","BA Entertainment, Onda Works","BA Entertainment, Onda Works",[왕과 사는 남자] 공식 예고편,2026-01-13,2026-02-04,D-22,2667604,16545,2523,A그룹,이후,2주차,Y,낮음
